주유소 이름,주소,휘발유 가격
한길주유소 금사점 한솔유화㈜,부산 금정구 반송로 420 (금사동),1549
훼미리알뜰주유소,부산 금정구 두실로 2,1575
청룡명품주유소,부산 금정구 중앙대로 2130,1575
은마석유 노포주유소,부산 금정구 중앙대로 2191 (노포동),1575
금두꺼비주유소,부산광역시 금정구  부곡로 67 (부곡동),1587
금강주유소,부산 금정구 중앙대로 1972,1589
한길주유소 부산점 한솔유화㈜,부산 금정구 중앙대로 1646,1597
신화주유소,부산 금정구 금강로 721,1618
동진주유소,"부산 금정구 금정로 216,  (구서동)",1619
에이원주유소,부산 금정구 반송로 364 (서동),1625
비케이원㈜ 대박드림주유소,부산 금정구 중앙대로 1597,1629
금정산주유소,부산 금정구 금샘로 399 (구서동),1637
식물원주유소,부산 금정구 금샘로 21 (장전동),1685
동양주유소,부산 금정구  반송로 391 (서동),1687
새석대주유소,부산 금정구 반송로 463 (금사동),1697
남산주유소,부산 금정구 중앙대로 2044 (남산동),1698
지에스칼텍스(주)영풍주유소,부산 금정구 중앙대로 1782 (부곡동),1709
